"FileName","FilePath","BirthTime","AccessTime"
"layout.bin","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\layout.bin","8/26/2003 11:48:24 AM","12/1/2023 12:54:46 PM"
"LoggerPro3_3_Updater_NoMovies.exe","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\LoggerPro3_3_Updater_NoMovies.exe","10/6/2004 7:28:16 PM","12/1/2023 12:55:22 PM"
"Release Notes.pdf","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Release Notes.pdf","8/26/2003 11:17:48 AM","12/1/2023 12:55:23 PM"
"Setup.bmp","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Setup.bmp","5/21/2003 9:48:32 AM","12/1/2023 12:55:23 PM"
"setup.boot","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\setup.boot","8/26/2003 11:46:40 AM","12/1/2023 12:55:23 PM"
"setup.exe","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\setup.exe","12/2/2002 10:33:00 AM","12/1/2023 12:55:23 PM"
"setup.ini","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\setup.ini","8/26/2003 11:46:40 AM","12/1/2023 12:55:23 PM"
"setup.inx","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\setup.inx","8/26/2003 11:46:40 AM","12/1/2023 12:55:23 PM"
"TIConnectV1.3.0.1_ENG.exe","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\TIConnectV1.3.0.1_ENG.exe","8/14/2003 8:43:12 AM","12/1/2023 12:55:39 PM"
"QuickTimeInstallCache.qdat","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\QuickTime Installer\QuickTimeInstallCache.qdat","5/27/2003 8:43:36 AM","12/1/2023 12:57:32 PM"
"QuickTimeInstaller.exe","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\QuickTime Installer\QuickTimeInstaller.exe","5/27/2003 9:36:20 AM","12/1/2023 12:57:32 PM"
"Air Resistance.xmbl","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Air Resistance\Air Resistance.xmbl","8/19/2003 8:57:26 AM","12/1/2023 12:57:10 PM"
"Terminal Velocity 2.mov","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Air Resistance\Terminal Velocity 2.mov","8/14/2003 5:47:12 AM","12/1/2023 12:57:10 PM"
"Terminal Velocity.mov","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Air Resistance\Terminal Velocity.mov","8/14/2003 5:47:12 AM","12/1/2023 12:57:10 PM"
"Ball Toss.mov","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Ball Toss\Ball Toss.mov","8/14/2003 5:47:12 AM","12/1/2023 12:57:10 PM"
"Ball Toss.xmbl","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Ball Toss\Ball Toss.xmbl","8/19/2003 8:57:26 AM","12/1/2023 12:57:10 PM"
"Basketball Shot.mov","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Basketball Shot\Basketball Shot.mov","8/14/2003 3:03:48 AM","12/1/2023 12:57:10 PM"
"Basketball Shot.xmbl","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Basketball Shot\Basketball Shot.xmbl","8/14/2003 3:03:48 AM","12/1/2023 12:57:10 PM"
"Blowing Up A Balloon.mov","C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Blowing Up a Balloon\Blowing Up A Balloon.mov","7/28/2003 9:46:58 AM","12/1/2023 12:57:10 PM"
