Filename,Inode,File Type,Parent Path,Birth Time,Access Time,Modify Time,Change Time
Screenshot 2023-03-27 134124.png,3096224743875678,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.546996400 -0500,2023-03-27 13:41:24.000000000 -0400,2023-12-01 12:49:21.022380900 -0500
Screenshot 2023-03-27 134145.png,1407374883612383,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.546996400 -0500,2023-03-27 13:41:45.602397800 -0400,2023-12-01 12:49:21.029586300 -0500
Screenshot 2023-03-27 134201.png,1970324837364616,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.546996400 -0500,2023-03-27 13:42:01.353316200 -0400,2023-12-01 12:49:21.038595200 -0500
Screenshot 2023-03-27 134207.png,1688849860653993,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.546996400 -0500,2023-03-27 13:42:07.436637600 -0400,2023-12-01 12:49:21.046838200 -0500
Screenshot 2023-03-27 134233.png,10977524092106230,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:42:33.798579000 -0400,2023-12-01 12:49:21.055119000 -0500
Screenshot 2023-03-27 134300.png,1970324836977079,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:43:00.000000000 -0400,2023-12-01 12:49:21.063348100 -0500
Screenshot 2023-03-27 134309.png,1125899907233442,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:43:09.378079000 -0400,2023-12-01 12:49:21.071345800 -0500
Screenshot 2023-03-27 134327.png,1125899907233449,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:43:27.149791500 -0400,2023-12-01 12:49:21.078607500 -0500
Screenshot 2023-03-27 134338.png,1125899907233457,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:43:38.766677100 -0400,2023-12-01 12:49:21.086610000 -0500
Screenshot 2023-03-27 134344.png,1125899907233464,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:43:44.649175700 -0400,2023-12-01 12:49:21.094610900 -0500
Screenshot 2023-03-27 134358.png,1125899907233471,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:43:58.060497000 -0400,2023-12-01 12:49:21.101787400 -0500
Screenshot 2023-03-27 134406.png,1125899907233478,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:44:06.223248000 -0400,2023-12-01 12:49:21.109784800 -0500
Screenshot 2023-03-27 134413.png,1125899907233485,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:44:13.102077400 -0400,2023-12-01 12:49:21.118013800 -0500
Screenshot 2023-03-27 134431.png,1125899907233492,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:44:31.616048600 -0400,2023-12-01 12:49:21.126015500 -0500
Screenshot 2023-03-27 134455.png,1125899907233500,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:44:55.004487500 -0400,2023-12-01 12:49:21.133274200 -0500
Screenshot 2023-03-27 134505.png,1125899907233508,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:45:05.515205100 -0400,2023-12-01 12:49:21.142269500 -0500
Screenshot 2023-03-27 134511.png,1125899907233515,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.545492700 -0500,2023-03-27 13:45:11.032461700 -0400,2023-12-01 12:49:21.151028900 -0500
Screenshot 2023-03-27 134518.png,1125899907233522,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:45:18.516339700 -0400,2023-12-01 12:49:21.159029800 -0500
Screenshot 2023-03-27 134525.png,1125899907233529,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:45:25.692168000 -0400,2023-12-01 12:49:21.166188600 -0500
Screenshot 2023-03-27 134532.png,1125899907233536,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:45:32.798698300 -0400,2023-12-01 12:49:21.174165900 -0500
Screenshot 2023-03-27 134540.png,8444249301378776,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:45:40.287933200 -0400,2023-12-01 12:49:21.182296100 -0500
Screenshot 2023-03-27 134549.png,1125899907233551,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:45:49.544502400 -0400,2023-12-01 12:49:21.190299600 -0500
Screenshot 2023-03-27 134609.png,1125899907233558,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:46:09.539915100 -0400,2023-12-01 12:49:21.197300700 -0500
Screenshot 2023-03-27 134620.png,1125899907233570,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:46:20.000000000 -0400,2023-12-01 12:49:21.205541900 -0500
Screenshot 2023-03-27 134626.png,1125899907233585,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.544493200 -0500,2023-03-27 13:46:26.000000000 -0400,2023-12-01 12:49:21.214541500 -0500
Screenshot 2023-03-27 134632.png,1125899907233592,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.543493700 -0500,2023-03-27 13:46:32.000000000 -0400,2023-12-01 12:49:21.222690300 -0500
Screenshot 2023-03-27 191436.png,1688849860323880,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.543493700 -0500,2023-03-27 19:14:36.210814700 -0400,2023-12-01 12:49:21.230689600 -0500
Screenshot 2023-03-27 191602.png,1125899907234786,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.543493700 -0500,2023-03-27 19:16:02.398343100 -0400,2023-12-01 12:49:21.238697500 -0500
Screenshot 2023-03-28 121633.png,1688849860656989,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.542491800 -0500,2023-03-28 12:16:33.191498300 -0400,2023-12-01 12:49:21.247240500 -0500
Screenshot 2023-03-28 122125.png,1407374883949268,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.542491800 -0500,2023-03-28 12:21:25.536502400 -0400,2023-12-01 12:49:21.255368600 -0500
Screenshot 2023-03-28 122952.png,281474977142491,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.542491800 -0500,2023-03-28 12:29:52.026972500 -0400,2023-12-01 12:49:21.262370600 -0500
Screenshot 2023-03-28 163611.png,3377699720915805,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.542491800 -0500,2023-03-28 16:36:11.404620200 -0400,2023-12-01 12:49:21.271600100 -0500
Screenshot 2023-03-28 174648.png,1407374883942824,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.542491800 -0500,2023-03-28 17:46:48.406941600 -0400,2023-12-01 12:49:21.279598600 -0500
Screenshot 2023-03-28 174651.png,1407374883942830,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.542491800 -0500,2023-03-28 17:46:51.712581300 -0400,2023-12-01 12:49:21.286602300 -0500
Screenshot 2023-03-28 181730.png,1970324837365946,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.541498800 -0500,2023-03-28 18:17:30.622498600 -0400,2023-12-01 12:49:21.295764400 -0500
Screenshot 2023-03-28 195119.png,281474977152667,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.541498800 -0500,2023-03-28 19:51:19.281820000 -0400,2023-12-01 12:49:21.303767500 -0500
Screenshot 2023-03-28 195217.png,562949953863364,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.541498800 -0500,2023-03-28 19:52:17.587954100 -0400,2023-12-01 12:49:21.310945100 -0500
Screenshot 2023-03-28 195221.png,281474977152716,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.541498800 -0500,2023-03-28 19:52:21.129072500 -0400,2023-12-01 12:49:21.319946800 -0500
Screenshot 2023-03-28 195338.png,281474977153041,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.540502700 -0500,2023-03-28 19:53:38.042272300 -0400,2023-12-01 12:49:21.327944400 -0500
Screenshot 2023-03-28 202207.png,281474977153480,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.540502700 -0500,2023-03-28 20:22:07.734618200 -0400,2023-12-01 12:49:21.336950400 -0500
Screenshot 2023-03-28 202354.png,281474977153606,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.540502700 -0500,2023-03-28 20:23:54.089453700 -0400,2023-12-01 12:49:21.345954800 -0500
Screenshot 2023-03-28 202430.png,562949953864271,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.539496600 -0500,2023-03-28 20:24:30.000000000 -0400,2023-12-01 12:49:21.353493800 -0500
Screenshot 2023-03-28 202631.png,281474977153708,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.539496600 -0500,2023-03-28 20:26:31.315569500 -0400,2023-12-01 12:49:21.361794500 -0500
Screenshot 2023-03-28 202746.png,281474977153722,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.538495500 -0500,2023-03-28 20:27:46.832270800 -0400,2023-12-01 12:49:21.369777500 -0500
Screenshot 2023-03-28 202845.png,562949953864388,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.538495500 -0500,2023-03-28 20:28:45.053660300 -0400,2023-12-01 12:49:21.379936500 -0500
Screenshot 2023-03-28 202911.png,281474977153739,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.538495500 -0500,2023-03-28 20:29:11.000000000 -0400,2023-12-01 12:49:21.386961000 -0500
Screenshot 2023-03-28 203033.png,281474977153743,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.537492000 -0500,2023-03-28 20:30:33.687350500 -0400,2023-12-01 12:49:21.398172200 -0500
Screenshot 2023-03-28 203100.png,281474977153751,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.537492000 -0500,2023-03-28 20:31:00.704997600 -0400,2023-12-01 12:49:21.406159700 -0500
