Access Time,Parent Path
2018-11-08 23:03:30.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 21
2018-11-08 23:03:35.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 21
2018-11-08 23:03:38.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 21
2018-11-08 23:03:42.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 21
2021-06-04 18:57:58.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 3
2018-11-08 22:55:55.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 3
2019-12-04 11:15:17.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 3
2018-11-08 22:56:03.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 3
2018-11-08 22:56:16.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 4
2020-01-07 12:11:10.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 4
2018-11-08 22:56:22.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 4
2019-07-23 13:17:14.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 4
2018-11-08 22:56:28.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 4
2018-11-08 22:56:41.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 5
2018-11-08 22:56:44.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 5
2020-09-22 12:03:52.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 5
2019-07-23 13:32:10.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 6
2020-12-23 16:05:07.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 6
2019-07-23 13:29:55.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 6
