Filename,Inode,Parent Path,Birth Time,Access Time,Modify Time,Change Time
D1_sigfigs_dimana_key.pdf,281474976966336,iCloudDrive/Documents/Classes//CHEM 111,-,2021-08-30 10:07:15.000000000 -0400,2021-08-30 10:07:15.000000000 -0400,2023-11-14 12:08:17.265268000 -0500
D8_thermo_b.pdf,281474976966242,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:19.000000000 -0400,2021-11-05 11:48:19.000000000 -0400,2023-11-14 12:06:18.983479900 -0500
D8_thermo_bkey.pdf,281474976966257,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:24.000000000 -0400,2021-11-05 11:48:24.000000000 -0400,2023-11-14 12:06:39.872950400 -0500
D9_entropy.pdf,281474976966153,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:29.000000000 -0400,2021-11-05 11:48:29.000000000 -0400,2023-11-14 12:04:22.217310100 -0500
D9_entropy_key.pdf,281474976965717,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:34.000000000 -0400,2021-11-05 11:48:34.000000000 -0400,2023-11-14 11:54:12.358541800 -0500
D9_kinetics.pdf,281474976966097,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:38.000000000 -0400,2021-11-05 11:48:38.000000000 -0400,2023-11-14 12:03:16.044494800 -0500
D9_kineticskey.pdf,281474976966274,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:41.000000000 -0400,2021-11-05 11:48:41.000000000 -0400,2023-11-14 12:07:09.119770200 -0500
Entropy PP Key.docx,281474976966271,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:44.000000000 -0400,2021-11-05 11:49:44.000000000 -0400,2023-11-14 12:07:08.894792400 -0500
Entropy PP.docx,281474976966258,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:40.000000000 -0400,2021-11-05 11:49:40.000000000 -0400,2023-11-14 12:06:48.877864400 -0500
Equilibrium 1 PP Key.docx,281474976966456,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:15.000000000 -0400,2021-11-05 11:50:15.000000000 -0400,2023-11-14 13:04:13.240830600 -0500
Equilibrium 1 PP.docx,281474976966118,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:12.000000000 -0400,2021-11-05 11:50:12.000000000 -0400,2023-11-14 12:03:49.808498600 -0500
Equilibrium 2 PP Key.docx,281474976966572,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:23.000000000 -0400,2021-11-05 11:50:23.000000000 -0400,2023-11-14 13:06:22.270555200 -0500
Equilibrium 2 PP.docx,562949953677152,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:19.000000000 -0400,2021-11-05 11:50:19.000000000 -0400,2023-11-14 13:05:27.265803200 -0500
Equilibrium 3 PP Key.docx,281474976966361,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:29.000000000 -0400,2021-11-05 11:50:29.000000000 -0400,2023-11-14 12:08:36.765501100 -0500
Equilibrium 3 PP.docx,562949953677106,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:26.000000000 -0400,2021-11-05 11:50:26.000000000 -0400,2023-11-14 13:04:32.526754500 -0500
Exam 2 Summary Compiled Key.pdf,1688849860793448,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-11 09:17:50.000000000 -0400,2021-10-11 09:17:52.000000000 -0400,2021-10-11 09:17:52.000000000 -0400
Exam 2 Summary Session Blank.pdf,281474976966017,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-09 15:20:38.000000000 -0400,2021-10-09 15:20:38.000000000 -0400,2023-11-14 12:01:27.381065000 -0500
Exam 3 Summary Session Blank.pdf,281474976966300,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 12:38:48.000000000 -0400,2021-11-05 12:38:48.000000000 -0400,2023-11-14 12:07:39.788306300 -0500
Exam 3 Summary Session Key 2021.pdf,2251799813941577,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-06 15:51:52.000000000 -0400,2021-11-06 15:51:52.000000000 -0400,2021-11-06 15:51:52.000000000 -0400
Explanations!!! (1).pdf,1688849860519806,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-09 19:46:09.000000000 -0500,2021-11-09 19:46:10.000000000 -0500,2021-11-09 19:46:10.000000000 -0500
Explanations!!!.pdf,3940649674140942,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-28 11:02:00.000000000 -0400,2021-10-28 11:02:01.000000000 -0400,2021-10-28 11:02:01.000000000 -0400
F18105_E3key.pdf,5910974511224936,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:12:40.000000000 -0400,2021-09-21 10:12:40.000000000 -0400,2021-09-21 10:12:40.000000000 -0400
F18111_E1.pdf,562949953676150,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:12:00.000000000 -0400,2021-09-21 10:12:00.000000000 -0400,2023-11-14 11:58:40.968774000 -0500
F18111_E1key.pdf,16044073672534131,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:12:21.000000000 -0400,2021-09-21 10:12:22.000000000 -0400,2021-09-21 10:12:22.000000000 -0400
F18111_E2.pdf,281474976966334,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:12:26.000000000 -0400,2021-09-21 10:12:26.000000000 -0400,2023-11-14 12:08:17.236040300 -0500
F18111_E2key.pdf,4222124651022292,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:12:30.000000000 -0400,2021-09-21 10:12:30.000000000 -0400,2021-09-21 10:12:30.000000000 -0400
F18111_E3.pdf,281474976966165,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:12:34.000000000 -0400,2021-09-21 10:12:34.000000000 -0400,2023-11-14 12:04:45.026091900 -0500
F18111_E3key.pdf,4785074604336203,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-08 09:51:17.000000000 -0500,2021-11-08 09:51:17.000000000 -0500,2021-11-08 09:51:17.000000000 -0500
F21111_LO3.pdf,281474976966477,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:46:12.000000000 -0400,2021-11-05 11:46:12.000000000 -0400,2023-11-14 13:04:44.014242200 -0500
F21111_LOFE.pdf,281474976966463,iCloudDrive/Documents/Classes//CHEM 111,-,2021-12-03 15:22:33.000000000 -0500,2021-12-03 15:22:34.000000000 -0500,2023-11-14 13:04:22.285624900 -0500
F21111_Q6 key.docx,281474976966712,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-13 09:25:00.000000000 -0400,2021-10-13 09:25:00.000000000 -0400,2023-11-14 13:08:48.614883100 -0500
F21111_Q8bkey (1).docx,844424930387004,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-09 17:51:06.000000000 -0500,2021-11-09 17:51:06.000000000 -0500,2023-11-14 11:54:02.560102800 -0500
F21111_grade_calculator.xlsx,281474976966764,iCloudDrive/Documents/Classes//CHEM 111,-,2021-12-03 15:23:03.000000000 -0500,2021-12-03 15:23:03.000000000 -0500,2023-11-14 13:09:51.749558100 -0500
F21111_syllabus.pdf,281474976966277,iCloudDrive/Documents/Classes//CHEM 111,-,2021-08-23 10:58:27.000000000 -0400,2021-08-23 10:58:31.000000000 -0400,2023-11-14 12:07:09.256571800 -0500
FEreview_105_111_E1E2.pdf,281474976966293,iCloudDrive/Documents/Classes//CHEM 111,-,2021-12-03 15:22:44.000000000 -0500,2021-12-03 15:22:44.000000000 -0500,2023-11-14 12:07:29.471874600 -0500
FEreview_105_111_E3FE.pdf,281474976966063,iCloudDrive/Documents/Classes//CHEM 111,-,2021-12-03 15:22:55.000000000 -0500,2021-12-03 15:22:56.000000000 -0500,2023-11-14 12:02:42.005477100 -0500
Final Exam Summary Session - CHEM 111 Blank.pdf,281474976965951,iCloudDrive/Documents/Classes//CHEM 111,-,2021-12-04 18:51:21.000000000 -0500,2021-12-04 18:51:21.000000000 -0500,2023-11-14 12:00:06.877798700 -0500
Gen Chem exam Constants and equations (1).pdf,281474976966555,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-24 16:54:57.000000000 -0400,2021-10-24 16:54:57.000000000 -0400,2023-11-14 13:06:03.466367400 -0500
Gen Chem exam Constants and equations.pdf,562949953677343,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-06 13:18:08.000000000 -0400,2021-09-06 13:18:08.000000000 -0400,2023-11-14 13:08:58.032423200 -0500
Gibbs Free Energy PP key.docx,281474976966419,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:47.000000000 -0400,2021-11-05 11:49:47.000000000 -0400,2023-11-14 13:03:25.872778000 -0500
Gibbs Free Energy PP.docx,281474976966349,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:50.000000000 -0400,2021-11-05 11:49:50.000000000 -0400,2023-11-14 12:08:27.657095000 -0500
Kinetics PP key.pdf,281474976966762,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:57.000000000 -0400,2021-11-05 11:49:57.000000000 -0400,2023-11-14 13:09:51.718207400 -0500
Kinetics PP.docx,281474976966217,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:53.000000000 -0400,2021-11-05 11:49:53.000000000 -0400,2023-11-14 12:05:57.145131200 -0500
Kinetics2 PP key.docx,1407374883809786,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:07.000000000 -0400,2021-11-05 11:50:07.000000000 -0400,2021-11-05 11:50:07.000000000 -0400
Kinetics2 PP.docx,281474976965834,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:00.000000000 -0400,2021-11-05 11:50:00.000000000 -0400,2023-11-14 11:56:30.658622900 -0500
Kinetics3 PP key.docx,281474976966740,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:09.000000000 -0400,2021-11-05 11:50:10.000000000 -0400,2023-11-14 13:09:26.539311900 -0500
Kinetics3 PP.docx,281474976965805,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:50:03.000000000 -0400,2021-11-05 11:50:03.000000000 -0400,2023-11-14 11:56:08.210571300 -0500
Major Declaration-Change Form_Fa20_FILLABLE_0.pdf,281474976966507,iCloudDrive/Documents/Classes//CHEM 111,-,2021-03-26 07:48:08.000000000 -0400,2021-03-26 07:48:08.000000000 -0400,2023-11-14 13:05:17.339830200 -0500
Polyatomic ions and solublitiy rules.pdf,281474976965924,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-07 19:34:51.000000000 -0400,2021-09-07 19:34:51.000000000 -0400,2023-11-14 11:59:44.093541200 -0500
OSX_Chem2e_SSM_01_01.docx,281474976967516,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 1,-,2020-08-14 13:03:13.000000000 -0400,2020-08-14 13:03:13.000000000 -0400,2023-11-14 13:21:29.860448300 -0500
OSX_Chem2e_SSM_01_02.docx,281474976967064,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 1,-,2018-11-08 22:54:52.000000000 -0500,2018-11-08 22:54:52.000000000 -0500,2023-11-14 13:14:52.533852900 -0500
OSX_Chem2e_SSM_01_03.docx,281474976966995,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 1,-,2018-11-08 22:54:55.000000000 -0500,2018-11-08 22:54:55.000000000 -0500,2023-11-14 13:13:51.644558800 -0500
OSX_Chem2e_SSM_01_04.docx,281474976967123,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 1,-,2021-06-04 18:57:20.000000000 -0400,2021-06-04 18:57:20.000000000 -0400,2023-11-14 13:15:51.173201100 -0500
OSX_Chem2e_SSM_01_05.docx,281474976967063,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 1,-,2020-06-09 15:15:01.000000000 -0400,2020-06-09 15:15:01.000000000 -0400,2023-11-14 13:14:52.518221500 -0500
OSX_Chem2e_SSM_01_06.docx,281474976967330,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 1,-,2018-11-08 22:55:04.000000000 -0500,2018-11-08 22:55:04.000000000 -0500,2023-11-14 13:19:20.061144600 -0500
OSX_Chem2e_SSM_10_01.docx,281474976966528,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 10,-,2018-11-08 22:58:35.000000000 -0500,2018-11-08 22:58:35.000000000 -0500,2023-11-14 13:05:45.034676000 -0500
OSX_Chem2e_SSM_10_02.docx,281474976966339,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 10,-,2018-11-08 22:58:37.000000000 -0500,2018-11-08 22:58:37.000000000 -0500,2023-11-14 12:08:17.351493600 -0500
OSX_Chem2e_SSM_10_03.docx,281474976965803,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 10,-,2018-11-08 22:58:41.000000000 -0500,2018-11-08 22:58:41.000000000 -0500,2023-11-14 11:55:56.273048400 -0500
OSX_Chem2e_SSM_10_04.docx,281474976965725,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 10,-,2018-11-08 22:58:45.000000000 -0500,2018-11-08 22:58:45.000000000 -0500,2023-11-14 11:54:22.877903800 -0500
OSX_Chem2e_SSM_10_05.docx,281474976965861,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 10,-,2018-11-08 22:58:48.000000000 -0500,2018-11-08 22:58:48.000000000 -0500,2023-11-14 11:56:50.946841900 -0500
OSX_Chem2e_SSM_10_06.docx,562949953676998,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 10,-,2018-11-08 22:58:52.000000000 -0500,2018-11-08 22:58:52.000000000 -0500,2023-11-14 13:02:33.431217700 -0500
OSX_Chem2e_SSM_11_01.docx,281474976966202,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 11,-,2018-11-08 22:59:03.000000000 -0500,2018-11-08 22:59:03.000000000 -0500,2023-11-14 12:05:26.125295400 -0500
OSX_Chem2e_SSM_11_02.docx,562949953677303,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 11,-,2018-11-08 22:59:05.000000000 -0500,2018-11-08 22:59:05.000000000 -0500,2023-11-14 13:08:04.969198400 -0500
OSX_Chem2e_SSM_11_03.docx,281474976966127,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 11,-,2018-11-08 22:59:09.000000000 -0500,2018-11-08 22:59:09.000000000 -0500,2023-11-14 12:03:50.162707600 -0500
OSX_Chem2e_SSM_11_04.docx,281474976965845,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 11,-,2020-06-01 17:04:43.000000000 -0400,2020-06-01 17:04:43.000000000 -0400,2023-11-14 11:56:40.936623400 -0500
OSX_Chem2e_SSM_11_05.docx,281474976966693,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 11,-,2018-11-08 22:59:17.000000000 -0500,2018-11-08 22:59:17.000000000 -0500,2023-11-14 13:08:21.941357500 -0500
OSX_Chem2e_SSM_12_01.docx,281474976967371,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 12,-,2018-11-08 22:59:31.000000000 -0500,2018-11-08 22:59:31.000000000 -0500,2023-11-14 13:20:02.155381400 -0500
OSX_Chem2e_SSM_12_02.docx,281474976967654,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 12,-,2018-11-08 22:59:36.000000000 -0500,2018-11-08 22:59:36.000000000 -0500,2023-11-14 13:24:01.750624800 -0500
OSX_Chem2e_SSM_12_03.docx,281474976967442,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 12,-,2020-12-23 16:05:54.000000000 -0500,2020-12-23 16:05:54.000000000 -0500,2023-11-14 13:20:25.233978000 -0500
OSX_Chem2e_SSM_12_04.docx,281474976967039,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 12,-,2021-07-23 16:05:10.000000000 -0400,2021-07-23 16:05:10.000000000 -0400,2023-11-14 13:14:22.224857700 -0500
OSX_Chem2e_SSM_12_05.docx,281474976967076,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 12,-,2018-11-08 22:59:46.000000000 -0500,2018-11-08 22:59:46.000000000 -0500,2023-11-14 13:15:02.046268200 -0500
OSX_Chem2e_SSM_12_06.docx,281474976967254,iCloudDrive/Documents/Classes//CHEM 111/SSM/Chapter 12,-,2021-07-23 16:06:59.000000000 -0400,2021-07-23 16:06:59.000000000 -0400,2023-11-14 13:18:00.986835500 -0500
