"DirectoryPath","Confidence Score","Photos Directory?"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\co","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\istanbul-lib-instrument\src","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@sveltejs\kit\src\runtime\components","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\jest-worker\build\workers","0","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\P5","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\playwright-core\lib\third_party","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\function-bind","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\sander\src\methodMakers","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@babel\types\lib\asserts\generated","0","No"
"C:\Users\gabee\iCloudDrive\Documents\Virtual Machines\Ubuntu","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\lucia\dist\scrypt","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\svelte\src\compiler\utils","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@nodelib\fs.scandir\out","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\merge2","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@babel\traverse\lib\path","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@babel\helper-plugin-utils\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\playwright-core\lib\third_party","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@jridgewell\set-array\src","0","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT3\.vscode","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\svelte\src\runtime\internal\disclose-version","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\istanbul-lib-source-maps","0","No"
"C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Keep It Bottled Up","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@babel\helper-hoist-variables","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\find-up","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\vite-plugin-istanbul\node_modules\istanbul-lib-instrument\src","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\@nodelib\fs.stat\out","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\expect","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@babel\types\lib\constants","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\globals","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\normalize-path","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\aria-query\lib\etc\roles\abstract","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\walker\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\min-indent","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\playwright-core\lib\protocol","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\prisma\preinstall","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\@babel\types\lib\builders\generated","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\globrex","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\prisma\preinstall","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\inherits","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@types\stack-utils","0","No"
"C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Cartesian Divers","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\css-tree\cjs\generator","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\mri\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@babel\types\lib\validators\react","0","No"
